cp_column,cp_number,cp_miles,cp_kilometers,cp_display_name
olympic_valley,1,0,0,Olympic Valley (0.0M : 0.0K)
lyon_ridge,2,10.3,16.6,Lyon Ridge (10.3M : 16.6K)
red_star_ridge,3,15.8,25.4,Red Star Ridge  (15.8M : 25.4K)
duncan_canyon,4,24.4,39.3,Duncan Canyon  (24.4M : 39.3K)
robinson_flat,5,30.3,48.8,Robinson Flat  (30.3M : 48.8K)
millers_defeat,6,34.4,55.4,Miller's Defeat  (34.4M : 55.4K)
dusty_corners,7,38,61.2,Dusty Corners  (38M : 61.2K)
last_chance,8,43.3,69.7,Last Chance  (43.3M : 69.7K)
devils_thumb,9,47.8,76.9,Devil's Thumb  (47.8M : 76.9K)
el_dorado,10,52.9,85.1,El Dorado  (52.9M : 85.1K)
michigan_bluff,11,55.7,89.6,Michigan Bluff  (55.7M : 89.6K)
foresthill,12,62,99.8,Foresthill  (62M : 99.8K)
peachstone_cal_2,13,70.7,113.8,Peachstone (Cal-2)  (70.7M : 113.8K)
rucky_chucky,14,78,125.5,Rucky Chucky  (78M : 125.5K)
green_gate,15,79.8,128.4,Green Gate  (79.8M : 128.4K)
auburn_lake_trails,16,85.2,137.1,Auburn Lake Trails  (85.2M : 137.1K)
quarry_road,17,90.7,146,Quarry Road  (90.7M : 146K)
pointed_rocks,18,94.3,151.8,Pointed Rocks  (94.3M : 151.8K)
robie_point,19,98.9,159.2,Robie Point  (98.9M : 159.2K)
finish,20,100.2,161.3,Finish (Placer H.S. Track)  (100.2M : 161.3K)
